Issue,File,Location,Category,Severity,Problem,Recommended Fix,Fix Applied,Human Verification Required
1,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/00-version-history.mdx,TableVersionHistory approvedBy,Text,Minor,"Approved by listed as ""Nathan Snorteland""; PDF shows ""Nate Snorteland""",,Yes,No
2,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/04-background.mdx,Equation 1,Equation,Major,Equation uses P_W but variable is defined as P_w in text/PDF,,No,No
3,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/04-background.mdx,Equation 2,Equation,Major,Equation uses P_W but variable is defined as P_w in text/PDF,,No,No
4,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/04-background.mdx,Paragraph referencing probability tables,Citation,Major,"PDF cites ""Fell et al. (2008)"" for probability tables, but MDX has only <Citation citationKey=""Fell2008"" /> with no raw reference text.",,No,No
5,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/04-background.mdx,Figure 8 caption,Citation,Major,"Caption includes ""Fell et al. 2015"" but no <Citation> component is present in the caption.",,No,No
6,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/05-cylindrical-pipe.mdx,Equation 3,Equation,Major,Equation uses gamma_W (uppercase) instead of gamma_w,,No,No
7,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/05-cylindrical-pipe.mdx,Equation 5,Equation,Major,Equation uses gamma_W (uppercase) instead of gamma_w,,No,No
8,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/05-cylindrical-pipe.mdx,Equation 3 where block,MDX,Minor,Where terms use bullet list formatting (- Term) instead of required blockquote lines (> Term).,,No,No
9,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/05-cylindrical-pipe.mdx,Equation 4 where block,MDX,Minor,Where terms use bullet list formatting (- Term) instead of required blockquote lines (> Term).,,No,No
10,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/06-horizontal-crack.mdx,Figure 31 caption,Figure,Minor,Caption typo: geoemetry,,No,No
11,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/06-horizontal-crack.mdx,Equation 6,Equation,Major,Equation uses gamma_W (uppercase) instead of gamma_w,,No,No
12,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/06-horizontal-crack.mdx,Equation 7,Equation,Major,Equation uses gamma_W (uppercase) instead of gamma_w,,No,No
13,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/06-horizontal-crack.mdx,Equation 6 where block,MDX,Minor,Where terms use bullet list formatting (- Term) instead of required blockquote lines (> Term).,,No,No
14,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/07-vertical-rectangular-crack.mdx,Equation 8,Equation,Major,Equation uses gamma_W (uppercase) instead of gamma_w,,No,No
15,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/07-vertical-rectangular-crack.mdx,Equation 9,Equation,Major,Equation uses gamma_W (uppercase) instead of gamma_w,,No,No
16,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/07-vertical-rectangular-crack.mdx,Figure 35 caption,Citation,Major,"Caption includes ""Foster et al. 2002"" but no <Citation> component is present in the caption.",,No,No
17,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/08-vertical-triangular-crack.mdx,Equation 10,Equation,Major,Equation uses gamma_W (uppercase) instead of gamma_w,,No,No
18,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/08-vertical-triangular-crack.mdx,Equation 11,Equation,Major,Equation uses gamma_W (uppercase) instead of gamma_w,,No,No
19,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/09-probability-tables.mdx,Step 4 paragraph,Text,Minor,"Fell et. al. includes an extra period after et; PDF uses ""Fell et al.""",,No,No
20,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/09-probability-tables.mdx,Figure 42 caption,Citation,Major,"Caption includes ""Fell et al. (2008)"" but no <Citation> component is present in the caption.",,No,No
21,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,Figure 50 alt text,Figure,Minor,Alt text says hoirzontal instead of horizontal,,No,No
22,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,Equation A-36 (equation-47),Equation,Major,Equation text is missing a closing parenthesis: tau L(H1+H2+W=...,,No,No
23,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,"First ""Solving Equation"" sentence",Text,Major,Tau symbol in text appears corrupted in the first sentence,,No,No
24,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,"Second ""Solving Equation"" sentence",Text,Major,Tau symbol in text appears corrupted in the second sentence,,No,No
25,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,Equation A-94 sentence,Equation,Major,"Stray brace in &tau;} (""<em>&tau;}<sub>c</sub></em>"")",,No,No
26,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,Equation A-6 (equation-17),Equation,Major,Equation uses P_W but variable is defined as P_w in text/PDF,,No,No
27,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,Equation A-20 (equation-31),Equation,Major,Equation uses P_W but variable is defined as P_w in text/PDF,,No,No
28,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,Equation A-38 (equation-49),Equation,Major,Equation uses P_W but variable is defined as P_w in text/PDF,,No,No
29,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,Equation A-64 (equation-75),Equation,Major,Equation uses P_W but variable is defined as P_w in text/PDF,,No,No
30,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,Equation A-1 where block (equation-12),MDX,Minor,Where terms use bullet list formatting (- Term) instead of required blockquote lines (> Term).,,No,No
31,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,Equation A-6 where block (equation-17),MDX,Minor,Where terms use bullet list formatting (- Term) instead of required blockquote lines (> Term).,,No,No
32,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,Equation A-15 where block (equation-26),MDX,Minor,Where terms use bullet list formatting (- Term) instead of required blockquote lines (> Term).,,No,No
33,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,Equation A-20 where block (equation-31),MDX,Minor,Where terms use bullet list formatting (- Term) instead of required blockquote lines (> Term).,,No,No
34,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,Equation A-35 where block (equation-46),MDX,Minor,Where terms use bullet list formatting (- Term) instead of required blockquote lines (> Term).,,No,No
35,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,Equation A-38 where block (equation-49),MDX,Minor,Where terms use bullet list formatting (- Term) instead of required blockquote lines (> Term).,,No,No
36,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,Equation A-55 where block (equation-66),MDX,Minor,Where terms use bullet list formatting (- Term) instead of required blockquote lines (> Term).,,No,No
37,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,Equation A-64 where block (equation-75),MDX,Minor,Where terms use bullet list formatting (- Term) instead of required blockquote lines (> Term).,,No,No
38,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/11-appendix-derivation-of-hydraulic-shear-stress-equations.mdx,Equation A-66 where block (equation-77),MDX,Minor,Where terms use bullet list formatting (- Term) instead of required blockquote lines (> Term).,,No,No
39,docs/toolbox-technical-manuals/internal-erosion-suite/concentrated-leak-erosion-initiation/v1.0/13-appendix-acronym-list.mdx,Acronym table,Table,Minor,"UDF expansion is plural ""User-Defined Functions""; PDF uses singular ""User-Defined Function""",,No,No
